analysis             sr                        o         b         db              s                  ds               s95obs         s95exp         robscons          rexpcons           
atlas_1405_7875      SR03_b.4jl                608.0     630.0     50.0            0.0                28.5937163899    91.0           103.0          0                 0                  
atlas_1405_7875      SR03_c.4jm                24.0      37.0      6.0             0.0                28.5937163899    10.0           16.0           0                 0                  
atlas_1405_7875      SR03_d.4jt                0.0       2.5       1.0             0.0                28.5937163899    3.1            4.0            0                 0                  
atlas_1405_7875      SR03_e.4jW                16.0      14.0      4.0             0.0                28.5937163899    14.0           11.0           0                 0                  
atlas_1405_7875      SR04_5j                   121.0     126.0     13.0            0.0                28.5937163899    35.0           37.0           0                 0                  
atlas_1405_7875      SR05_a.6jl                121.0     111.0     11.0            0.0                28.5937163899    39.0           31.0           0                 0                  
atlas_1405_7875      SR05_b.6jm                39.0      33.0      6.0             0.0                28.5937163899    25.0           20.0           0                 0                  
atlas_1405_7875      SR05_c.6jt                5.0       5.2       1.4             0.0                28.5937163899    6.6            6.2            0                 0                  
atlas_1405_7875      SR05_d.6jt+               6.0       4.9       1.6             0.0                28.5937163899    7.9            6.6            0                 0                  
atlas_1407_0583      bCa_low                   11.0      6.5       1.4             0.0                28.7085380277    12.2           7.8            0                 0                  
atlas_1407_0583      bCa_med                   20.0      17.0      4.0             0.0                28.7085380277    14.4           12.3           0                 0                  
atlas_1407_0583      bCb_high                  7.0       9.8       1.6             0.0                28.7085380277    6.5            7.9            0                 0                  
atlas_1407_0583      bCb_med1                  41.0      32.0      5.0             0.0                28.7085380277    23.5           16.0           0                 0                  
atlas_1407_0583      bCb_med2_a                10.0      12.1      2.0             0.0                28.7085380277    7.3            8.8            0                 0                  
atlas_1407_0583      bCb_med2_b                10.0      7.4       1.4             0.0                28.7085380277    9.7            7.3            0                 0                  
atlas_1407_0583      bCb_med2_c                16.0      21.0      4.0             0.0                28.7085380277    9.3            12.3           0                 0                  
atlas_1407_0583      bCb_med2_d                9.0       9.1       1.6             0.0                28.7085380277    7.7            7.8            0                 0                  
atlas_1407_0583      bCc_diag                  493.0     470.0     50.0            0.0                28.7085380277    110.6          95.1           0                 0                  
atlas_1407_0583      bCd_bulk_a                144.0     133.0     22.0            0.0                28.7085380277    36.1           33.9           0                 0                  
