analysis             sr                        signal_normevents  signal_err_tot     
cms_1303_2985        23j_1b_325                0.0                0                  
cms_1303_2985        23j_1b_375                0.0                0                  
cms_1303_2985        23j_1b_475                0.0                0                  
cms_1303_2985        23j_1b_575                0.0                0                  
cms_1303_2985        23j_1b_675                0.0                0                  
cms_1303_2985        23j_1b_775                0.0                0                  
cms_1303_2985        23j_1b_875                0.0                0                  
cms_1303_2985        23j_2b_275                0.0                0                  
cms_1303_2985        23j_2b_325                0.0                0                  
cms_1303_2985        23j_2b_375                0.0                0                  
cms_1303_2985        23j_2b_475                0.0                0                  
cms_1303_2985        23j_2b_575                0.0                0                  
cms_1303_2985        23j_2b_675                0.0                0                  
cms_1303_2985        23j_2b_775                0.0                0                  
cms_1303_2985        23j_2b_875                0.0                0                  
cms_1303_2985        4j_0b_275                 0.0                0                  
cms_1303_2985        4j_0b_325                 0.0                0                  
cms_1303_2985        4j_0b_375                 0.0                0                  
cms_1303_2985        4j_0b_475                 0.0                0                  
cms_1303_2985        4j_0b_575                 0.0                0                  
cms_1303_2985        4j_0b_675                 0.0                0                  
cms_1303_2985        4j_0b_775                 0.0                0                  
cms_1303_2985        4j_0b_875                 0.0                0                  
cms_1303_2985        4j_1b_275                 0.0                0                  
cms_1303_2985        4j_1b_325                 0.0                0                  
cms_1303_2985        4j_1b_375                 0.0                0                  
cms_1303_2985        4j_1b_475                 0.0                0                  
cms_1303_2985        4j_1b_575                 0.0                0                  
cms_1303_2985        4j_1b_675                 0.0                0                  
cms_1303_2985        4j_1b_775                 0.0                0                  
cms_1303_2985        4j_1b_875                 0.0                0                  
cms_1303_2985        4j_2b_275                 0.0                0                  
cms_1303_2985        4j_2b_325                 0.0                0                  
cms_1303_2985        4j_2b_375                 0.0                0                  
cms_1303_2985        4j_2b_475                 0.0                0                  
cms_1303_2985        4j_2b_575                 0.0                0                  
cms_1303_2985        4j_2b_675                 0.0                0                  
cms_1303_2985        4j_2b_775                 0.0                0                  
cms_1303_2985        4j_2b_875                 0.0                0                  
cms_1303_2985        4j_3b_275                 0.0                0                  
cms_1303_2985        4j_3b_325                 0.0                0                  
cms_1303_2985        4j_3b_375                 0.0                0                  
cms_1303_2985        4j_3b_475                 0.0                0                  
cms_1303_2985        4j_3b_575                 0.0                0                  
cms_1303_2985        4j_3b_675                 0.0                0                  
cms_1303_2985        4j_3b_775                 0.0                0                  
cms_1303_2985        4j_3b_875                 0.0                0                  
cms_1303_2985        4j_4b_275                 0.0                0                  
cms_1303_2985        4j_4b_325                 0.0                0                  
cms_1303_2985        4j_4b_375                 0.0                0                  
cms_1408_3583        250                       0.0                0                  
cms_1408_3583        300                       0.0                0                  
cms_1408_3583        350                       0.0                0                  
cms_1408_3583        400                       0.0                0                  
cms_1408_3583        450                       0.0                0                  
cms_1408_3583        500                       0.0                0                  
cms_1408_3583        550                       0.0                0                  
cms_1410_6679_ee     BB                        0.0                0                  
cms_1410_6679_ee     NBB                       0.0                0                  
cms_1502_06031       SR01_GE2jets_a.lowMET     3.54997e-07        1.34176598347e-07  
cms_1502_06031       SR01_GE2jets_b.mediumMET  1.52142e-07        8.7839288661e-08   
